,ID,Album,Artist,ISRC,Original Advance Amount,Additional Recoupable Costs,Total Recoupable Costs,Currency,Release Date,First Revenue Date,Contractual Artist Split,Contractual Artist Split After Recoupment,Contract Term (months),Legacy: Expected Time to Repay (in P&L months excluding months where no revenue at the time of the investment),Legacy: Expected time to repay month,Expected Payback Period,1 Year Cum Expected Revenue,2 Year Cum Expected Revenue,3 Year Cum Expected Revenue,Number of Streaming Services above 2,Number of Streams & Youube Views (as of pool cut date),Total Gross Royalty Revenue Earned,Total Instrumental Split of Revenue,Total Artist Revenue,Total Revenue Paid to Artist,Total Expected Revenue to date,Actual to Expected Revenue,Outstanding principal / advance,Revenue Month (i.e. number of months receiving revenue),Currency.1,Expected Repayment Term,Max Advance,Minimum Streaming Services,Inactivity (received revenue vs expected - tested after 6 months from origination date),ELIGIBLITY CRITERIA CHECK,EXCEPTION LOAN,STATUS,Monthly Revenue Collected,3/9 Month Average monthly collections,Remaining Term,Remaining PV Term,Future Revenue,Revenue until Artist Recoups,Future Cashflows 3 years,Eligible Portfolio Value,Net Eligible Portfolio Value (*80%),Buyback?,Buyback Amount,Buyback Date,Agreement with Company,Date of Agreement
61,6k9eZbMyL8HgIyZZoP9q5F,Night Swimmers,Foals,GBAHT1500387,38000,3222,4652,USD,2023-06-01,2023-07-01,0.2153421779,0.283692975,22,9,15,12,9933,2983,3582,3,98746,68189,34280,75835,99640,73870,0.412379049,27798,22,USD,32,475166,1,0,1,0,Active,1426,4951,31,33,383633,484377,388564,302522,158739,Yes,354505,2023-12-31,Agreement 3,2023-06-01
62,71GAvRsilpo9pqd0vYn8Mo,Mamita,CNCO,USSD11700441,50073,3665,4309,USD,2023-06-01,2023-07-01,0.1456575209,0.3547776913,31,9,8,14,4930,9328,9115,4,37053,96234,39902,64756,75242,54264,0.9857721282,71683,15,USD,35,471178,3,1,0,1,Inactive,3691,3938,31,23,189837,376448,128888,312203,323363,No,309692,2023-12-31,Agreement 2,2023-06-01
63,76ShjFRNbo7zhaQx1EwAUW,onix,twikipedia,QZH5E2081232,15452,1234,3862,USD,2023-06-01,2023-07-01,0.3262002474,0.4160209054,20,10,13,18,6212,1325,3780,2,75906,25787,74201,55630,55845,86167,0.2037310032,54479,9,USD,30,462145,2,1,0,1,Inactive,7183,9919,30,32,457255,357947,300510,415815,220049,No,377283,2023-12-31,Agreement 1,2023-06-01
64,2mlr03AZ7bdRNuOV4NfhLC,Sweat It Out,The-Dream,USUM70953649,82825,1305,3956,USD,2023-06-01,2023-07-01,0.1218566033,0.3847281559,26,11,16,25,4781,9548,8705,1,13988,21416,72693,11238,78430,45814,0.3971520838,83041,14,USD,21,293819,3,0,1,1,Inactive,7277,3460,18,25,156782,314020,323393,101930,191038,Yes,188866,2023-12-31,Agreement 1,2023-06-01
65,6cs8wOglJn8GqaBKfvdcHc,762's,Eastside Reup,QZHNC1956924,10303,1802,4860,USD,2023-06-01,2023-07-01,0.1976608684,0.2694928924,16,17,14,18,7464,7166,5448,2,18645,60024,61832,52961,86908,92167,0.9509783882,28393,30,USD,35,455517,1,0,1,0,Inactive,7472,4140,26,30,349130,313435,263582,144142,166305,No,207202,2023-12-31,Agreement 2,2023-06-01
66,3eWmGkRDtBwgUPD3KTrOg6,(A Bit of a) Birthday,Heavy Lungs,GBKPL1964485,28831,1228,4758,USD,2023-06-01,2023-07-01,0.1200127062,0.3721896597,17,8,21,28,4199,7155,1864,1,42860,80267,64070,91239,12286,62151,0.9074595517,44544,27,USD,30,224882,2,1,1,1,Active,5785,9845,33,28,229425,439954,470912,478532,106338,Yes,163658,2023-12-31,Agreement 2,2023-06-01
67,1AneCfStYUqfBWOJvspDJS,Hasty,conscience,QZHN62010487,75340,1021,4482,USD,2023-06-01,2023-07-01,0.3696735941,0.1665144335,17,14,20,21,1143,9858,3585,4,43947,94458,50930,32367,99516,53301,0.54673962,35234,20,USD,24,315623,2,0,1,1,Active,1995,2898,35,27,309205,174956,152697,306245,204207,No,192664,2023-12-31,Agreement 4,2023-06-01
68,2h3AS862LKQJ7L7nKQeNLi,A Million Dollars,conscience,QZFZ41980766,61463,2370,4052,USD,2023-06-01,2023-07-01,0.1052879994,0.2545833374,25,15,6,27,1470,4675,1392,1,64216,13685,84761,90229,59136,66057,0.1218030383,80421,17,USD,28,133427,2,0,1,1,Inactive,2743,5641,30,28,229268,445921,268726,418779,303984,No,332555,2023-12-31,Agreement 4,2023-06-01
69,4iz9lGMjU1lXS51oPmUmTe,Homecoming,Kanye West,USUM70749093,20275,2181,3214,USD,2023-06-01,2023-07-01,0.2248246844,0.325927071,24,13,13,25,6299,5450,4206,4,52904,94350,22450,90959,30040,72262,0.8859259466,63931,31,USD,34,165514,4,1,1,1,Active,2893,6314,12,27,392679,314818,377903,323118,306078,No,108686,2023-12-31,Agreement 3,2023-06-01
70,11k8KTbNeG9iabeNXMuwf0,nuts,Lil Peep,UKELY2100069,55496,3704,3486,USD,2023-06-01,2023-07-01,0.2753441064,0.4356901836,21,12,8,27,2358,1492,1513,3,86520,49359,89655,36821,21372,53819,0.1918508454,33308,28,USD,25,447610,1,1,0,0,Inactive,2265,8803,28,20,310433,214633,260873,191063,493582,No,422635,2023-12-31,Agreement 2,2023-06-01
71,3m9Kp9oZxrCQYDeaqBfWsz,Me Cansé,Banda MS de Sergio Lizárraga,MXB952000012,68805,3533,4128,USD,2023-06-01,2023-07-01,0.3163749573,0.327464589,35,23,10,32,8997,8549,4954,3,83286,48228,28175,23725,38716,19526,0.5882087129,10747,30,USD,19,227132,3,1,0,1,Active,2044,8525,25,33,361943,105311,492134,119693,328090,Yes,291042,2023-12-31,Agreement 3,2023-06-01
72,789CxjEOtO76BVD1A9yJQH,Stay,Rihanna,USUM71214758,85593,3793,1881,USD,2023-06-01,2023-07-01,0.2435342407,0.4924781759,30,15,9,19,2056,6812,8549,3,89146,79302,23338,79084,94987,36581,0.5462992629,68245,26,USD,17,257702,3,1,1,0,Inactive,7160,6319,14,29,445655,143417,269115,244704,337665,No,147054,2023-12-31,Agreement 2,2023-06-01
73,5odlY52u43F5BjByhxg7wg,golden hour,JVKE,GBKPL2204171,94803,3283,1951,USD,2023-06-01,2023-07-01,0.3890030838,0.3728229594,35,15,7,32,5202,2321,2642,3,97302,51791,67641,21416,81068,83078,0.2952523578,70214,8,USD,22,152857,4,1,1,0,Inactive,1582,5878,18,22,266752,278312,245428,360510,487442,Yes,450098,2023-12-31,Agreement 3,2023-06-01
74,2hnMS47jN0etwvFPzYk11f,Santeria,Sublime,USGA19649253,53388,2786,4681,USD,2023-06-01,2023-07-01,0.1646509223,0.3508318221,29,17,18,24,3336,6878,2707,1,50434,11647,98723,81339,58342,97447,0.4170203403,50366,16,USD,16,203780,4,0,1,1,Inactive,2121,4867,15,26,243685,124450,491336,398142,149078,No,258870,2023-12-31,Agreement 1,2023-06-01
75,0v9FopnUjdazLkHb2vzcdt,CHASE THE SUN,TurboKevin,DEUM72207009,89435,2321,4665,USD,2023-06-01,2023-07-01,0.3620469925,0.4379522092,12,22,13,27,4877,4811,5251,4,84298,90228,62641,25776,25000,14725,0.9929457524,46264,16,USD,30,283241,3,1,1,0,Active,2379,4651,13,33,101598,131604,196369,246217,173175,No,401895,2023-12-31,Agreement 4,2023-06-01
76,1AGxHml6W2O7ZnJXig8Hg5,Washout,GOLDHOUSE,UK6KW2000203,76456,1454,4401,USD,2023-06-01,2023-07-01,0.4584773058,0.4273007476,28,13,9,14,2449,5001,3222,1,25181,34324,51754,36555,41952,55162,0.2199170437,47103,17,USD,23,204890,2,0,0,0,Inactive,1335,6753,23,15,220976,372185,237482,101172,360545,Yes,288676,2023-12-31,Agreement 4,2023-06-01
77,06UkYE0SZ3Y8zGRFOuWGAe,It's Always You - Vocal Version,Chet Baker,USBN28900078,83952,4925,4832,USD,2023-06-01,2023-07-01,0.2282405243,0.2423668113,30,21,15,26,9376,3564,8643,1,39140,45367,47076,53527,69574,30068,0.6194629172,53054,6,USD,34,455533,3,0,0,1,Active,3080,6589,13,31,256608,153331,452947,341287,284356,No,473602,2023-12-31,Agreement 3,2023-06-01
78,0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,Kesha,USRC10900433,45280,1502,2808,USD,2023-06-01,2023-07-01,0.3741784795,0.4732855534,17,11,17,13,1513,2497,4413,2,61981,24667,98208,72537,17051,78760,0.4284057185,89982,19,USD,29,112490,4,1,1,1,Active,5489,1358,16,12,353790,498047,362612,309858,191901,Yes,369285,2023-12-31,Agreement 3,2023-06-01
79,3zAXXJJmZLNuiuBNzOqiLz,New Chapter,Alex Jean,TCAGK2276584,22269,1548,2969,USD,2023-06-01,2023-07-01,0.4226218822,0.1497655645,24,16,19,32,1804,9533,6389,3,39644,52397,80389,34022,98867,43742,0.5567480719,41358,24,USD,31,166597,1,0,0,1,Active,1753,5208,22,21,397977,168602,492553,425573,315562,No,201780,2023-12-31,Agreement 1,2023-06-01
80,43GPx0sA9tDRs5QMMc1t9d,Shy - Sistek Remix,Melanie Wehbe,GBKPL1977224,86836,3617,3728,USD,2023-06-01,2023-07-01,0.2463714965,0.4407374195,27,23,23,34,1090,7226,4124,1,90199,86682,41773,62789,40690,43795,0.2862693688,12023,18,USD,35,204056,4,1,1,1,Inactive,2233,7479,24,24,135319,359125,180820,404717,197566,No,485132,2023-12-31,Agreement 2,2023-06-01
81,2nG54Y4a3sH9YpfxMolOyi,Shy Away,Twenty One Pilots,USAT22101330,98090,3090,1452,USD,2023-06-01,2023-07-01,0.252428979,0.2650689636,31,8,15,14,6035,7340,2269,4,88676,43946,66766,67947,27369,47214,0.9108253007,28437,17,USD,29,299843,1,1,1,1,Active,4783,1118,20,31,289214,409105,463146,229168,179775,Yes,314062,2023-12-31,Agreement 4,2023-06-01
82,0zKbDrEXKpnExhGQRe9dxt,Lay Low,Tiësto,NLZ542202348,82271,4095,4653,USD,2023-06-01,2023-07-01,0.2351424847,0.1294975378,30,19,6,26,8217,9966,8469,3,34740,44316,61102,72709,53208,69486,0.8815777895,26045,22,USD,22,375267,1,0,1,1,Inactive,7682,9345,34,20,454106,223835,223359,151421,281281,No,295731,2023-12-31,Agreement 3,2023-06-01
83,40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,Eagles,USEE11300353,68770,2014,3780,USD,2023-06-01,2023-07-01,0.3383607798,0.4690304479,31,19,22,17,6412,2520,4266,3,20054,78054,92058,20247,32382,90579,0.2037952469,72627,16,USD,35,147013,1,1,0,1,Active,2917,3224,24,20,164387,226417,366065,154570,334355,No,118892,2023-12-31,Agreement 3,2023-06-01
84,22Vsz6sIdD97KROSX7oAyq,Catching Eyes,49th & Main,QZDA82098673,82514,3362,2669,USD,2023-06-01,2023-07-01,0.1233086649,0.1951531348,33,8,18,30,8603,5405,7783,3,48976,28404,24152,43510,41827,19981,0.7211974027,52234,27,USD,13,369148,3,1,1,1,Inactive,9440,7067,25,13,465668,466329,124072,139999,142298,Yes,292476,2023-12-31,Agreement 1,2023-06-01
85,7ztjUaIJRxoAGfIMqn6ijO,Don't You Like It?,49th & Main,QZHN72009981,53028,4122,4500,USD,2023-06-01,2023-07-01,0.3704645361,0.3559690352,34,15,14,26,4881,5853,1194,2,22623,74969,14886,54490,52411,89399,0.357863757,80025,34,USD,22,126637,4,1,1,1,Active,7872,7744,27,26,301406,479954,206884,341233,314033,Yes,361228,2023-12-31,Agreement 4,2023-06-01
86,7IalOMYMAmWx30ptrXRXxK,angeldust,Lil Peep,UKELY2200032,30000,2732,3938,USD,2023-06-01,2023-07-01,0.4737450853,0.4855423507,13,6,11,20,6309,2676,8301,1,21103,75766,83223,44376,59624,28060,0.6907557126,85265,21,USD,34,249071,1,0,0,0,Active,3179,1827,32,25,189584,109360,134120,266821,255138,No,178780,2023-12-31,Agreement 4,2023-06-01
87,6FwiflJB4b1v8j3h10e9ZM,MANIFESTO (feat. Domo Genesis),"Tyler, The Creator",USQX92102137,23940,1249,1033,USD,2023-06-01,2023-07-01,0.3873738448,0.3191778734,17,22,20,32,1253,7128,3368,1,46096,97843,47909,25913,69709,21425,0.4187878425,67072,14,USD,35,181368,1,0,1,0,Active,7969,7647,25,12,394285,324193,365954,289118,415830,Yes,418333,2023-12-31,Agreement 3,2023-06-01
88,7A9zq21zh9LuqR2kUnJJWO,Freddie‘s Winning Hand,Jake Milliner,DEGC62002304,35022,3481,1429,USD,2023-06-01,2023-07-01,0.1249170637,0.1889301924,30,15,22,24,1090,3483,7146,2,24943,89145,87401,76441,47849,99512,0.193048982,77280,20,USD,23,440507,1,1,1,1,Inactive,9497,2501,19,29,209677,275756,141620,422711,180439,Yes,254110,2023-12-31,Agreement 3,2023-06-01
89,3bbaEFRarxu30UBAWNTbal,Another Level,Oh The Larceny,US43C1609900,69817,2939,4229,USD,2023-06-01,2023-07-01,0.2889129307,0.2144932972,33,21,9,14,1965,7955,9268,2,85962,28281,34202,72592,44394,32087,0.9048918775,16322,15,USD,34,302639,3,1,0,0,Active,9787,9338,28,15,209890,109868,211875,394068,394907,No,420442,2023-12-31,Agreement 3,2023-06-01
90,4KJouF0PwyYsq2Jxyj5j6B,Obsessive,Chase Atlantic,QMPKX1631782,56395,2911,1030,USD,2023-06-01,2023-07-01,0.2391849253,0.1046657792,33,23,9,18,4595,1741,2009,1,99826,25083,20330,24039,62529,90676,0.5832819902,48961,13,USD,16,284404,1,1,0,0,Active,6280,9185,28,28,342696,148214,137964,190687,407262,Yes,177300,2023-12-31,Agreement 4,2023-06-01
91,5HZCMnScUwekum55mcRdjK,"I'm Not That Girl - From ""Wicked"" Original Broadway Cast Recording/2003",Stephen Schwartz,USUMC0300216,97479,2270,1693,USD,2023-06-01,2023-07-01,0.351884482,0.282954351,25,6,21,25,6227,5485,4607,3,25212,11951,75602,44176,99939,46507,0.4330866281,69530,32,USD,27,337056,4,1,0,0,Inactive,8933,4147,24,17,297842,273043,236215,410111,115251,Yes,445746,2023-12-31,Agreement 1,2023-06-01
92,5EbLS4q2S21ROWsI1XcMZX,Demand My Respect,Kodak Black,USAT22218622,71190,3455,3737,USD,2023-06-01,2023-07-01,0.387083276,0.1952985258,19,13,12,20,1433,5225,8601,1,19934,96802,78005,79613,46187,13701,0.8111170443,82528,13,USD,23,451864,1,0,0,1,Active,6088,4030,18,29,174911,339794,463508,154004,203684,No,402835,2023-12-31,Agreement 4,2023-06-01
93,7Dq4YNgsltQuTmhYz1wJzq,Ready For Love,BLACKPINK,KRA402200029,93545,3709,2613,USD,2023-06-01,2023-07-01,0.3500293833,0.1923888526,33,14,12,25,3595,1868,2333,1,68738,17667,42479,19621,17514,89678,0.1650115663,82518,22,USD,27,178087,2,1,0,1,Active,7799,6722,20,33,311370,227093,363413,360947,328546,No,239765,2023-12-31,Agreement 4,2023-06-01
94,1mxnIyCo0WO4iImx6kL3K9,Whole Lotta Folsom,The Surreal McCoys,US3DF1535029,47328,3722,2596,USD,2023-06-01,2023-07-01,0.3900998557,0.2924448418,22,22,7,18,4965,9256,7194,4,46693,56277,66304,82915,87898,65557,0.3855554293,98485,34,USD,30,119040,3,1,0,0,Inactive,3927,6928,32,16,172695,212475,429686,200726,259996,No,320842,2023-12-31,Agreement 2,2023-06-01
95,5n4ZzdO7KtpxsDpoDTa3D6,Destiny,NF,USUM71708221,73076,1612,4797,USD,2023-06-01,2023-07-01,0.3199213957,0.2407949978,32,16,17,14,9034,8415,5373,2,10593,79331,90147,58802,84496,78273,0.816627552,25761,21,USD,35,469679,2,0,1,0,Active,6071,2316,16,15,362961,344299,342138,353194,100146,Yes,262286,2023-12-31,Agreement 2,2023-06-01
96,0XGbNadiM2XrT4IuAQmvv6,Never Prang,Macky Gee,GB8KE2050475,99218,3560,4575,USD,2023-06-01,2023-07-01,0.1997473123,0.1906811804,29,10,11,30,2260,7559,6308,3,65792,51023,29458,70870,12689,25397,0.3798212867,88818,8,USD,30,280068,4,0,1,0,Inactive,6091,3884,25,16,370693,467042,117555,432462,192848,Yes,392966,2023-12-31,Agreement 3,2023-06-01
97,1wv8bYmoqY3TAKKQY3Qn7t,Foolin',Def Leppard,GBF088200410,14797,2310,4188,USD,2023-06-01,2023-07-01,0.452584476,0.4017457176,29,8,8,12,3055,6814,1425,2,26305,24103,83349,32604,20253,67213,0.6116319155,24724,9,USD,32,432271,1,0,1,1,Inactive,1675,4391,13,26,485828,228353,295756,111127,251581,Yes,289871,2023-12-31,Agreement 3,2023-06-01
98,4EuaDcxHmHKS6gZ5iuGba0,Joy Of My Life,Chris Stapleton,USUM72013811,52043,1054,3461,USD,2023-06-01,2023-07-01,0.102048886,0.21181817,22,11,19,30,4910,2718,8232,4,52328,24022,85336,88383,55588,23162,0.719539815,45405,15,USD,27,128785,4,0,1,1,Active,7464,2858,34,32,462075,157997,317698,294097,303274,Yes,399434,2023-12-31,Agreement 1,2023-06-01
99,1CS7Sd1u5tWkstBhpssyjP,Take Me to Church,Hozier,USSM11307291,64506,4425,1423,USD,2023-06-01,2023-07-01,0.1046732464,0.3408416677,17,17,19,16,2773,8222,3775,2,27531,74156,65155,76350,83765,38452,0.9497855494,80253,22,USD,34,181903,2,0,1,1,Active,7078,9729,33,33,112518,110902,359577,478759,233775,No,106881,2023-12-31,Agreement 3,2023-06-01
100,4IeyDnMmQ7TxWtw2aGYnUI,Same Sound Skit,Macky Gee,GB8KE2050470,99594,4857,1207,USD,2023-06-01,2023-07-01,0.1471172084,0.2156938667,19,20,11,28,4423,6140,1284,1,88842,57879,59093,99720,10030,52723,0.7500182788,56775,8,USD,23,286492,1,1,1,1,Active,3866,4226,32,28,106408,216703,130687,271769,276251,Yes,137627,2023-12-31,Agreement 4,2023-06-01
101,3gOL6mYIq19Oq8raxIntrV,LIKE ME (feat. 42 Dugg & Lil Baby),Future,USSM12203938,94754,4781,2145,USD,2023-06-01,2023-07-01,0.2515614109,0.2374459932,15,6,7,17,1608,8785,4906,2,53127,10219,52078,40003,89601,16142,0.2910890562,89547,27,USD,13,389786,2,1,1,0,Active,1179,7883,17,15,426142,402485,488657,324743,254610,No,215707,2023-12-31,Agreement 4,2023-06-01
102,3rq5eDUHiQ9rRWNYPubyIg,Erótica,Yng Lvcas,BK4DA2307609,56819,2419,1255,USD,2023-06-01,2023-07-01,0.1442646861,0.4680123985,26,19,23,23,4027,8691,6299,1,97483,77070,66595,92696,98657,41978,0.6332510857,30539,19,USD,26,163162,1,1,0,1,Active,8151,5704,28,30,381197,415379,435397,283533,456804,Yes,365172,2023-12-31,Agreement 3,2023-06-01
103,7H2TYuu6OmqkxQD3LIZRC7,L.O.V.E.,Ashlee Simpson,USUM70504197,64180,1974,1210,USD,2023-06-01,2023-07-01,0.2675484747,0.4438485779,12,11,7,27,6069,2248,5703,2,85571,82504,63581,65029,54817,11875,0.3242741481,84779,16,USD,35,148532,1,1,1,0,Inactive,3430,6609,21,16,332991,117729,443657,324563,371892,No,285634,2023-12-31,Agreement 2,2023-06-01
104,11EX5yhxr9Ihl3IN1asrfK,Need You Now,Lady A,USCN10900696,15782,1975,4152,USD,2023-06-01,2023-07-01,0.4414898014,0.3534968658,32,16,7,24,7761,4354,9510,1,73295,42270,71016,22434,24930,42181,0.7861754576,65232,22,USD,31,332683,2,1,1,0,Active,8977,8433,24,35,115641,444808,404929,348114,355418,Yes,413329,2023-12-31,Agreement 3,2023-06-01
105,3gOVQmGQcg8djqU044liT1,La 2blea,Anuel AA,QMDA62241652,77518,4011,2837,USD,2023-06-01,2023-07-01,0.2897229912,0.115114991,18,10,8,24,4329,7377,9401,2,50907,91550,29500,50982,32808,59689,0.8620820656,40245,34,USD,18,442640,1,0,1,0,Inactive,9245,5182,35,22,310917,137880,214788,324958,165039,No,244271,2023-12-31,Agreement 4,2023-06-01
106,69fnnbeoZO9h16CUZGIbTG,Revenge,Joyner Lucas,QM4TW2057334,19348,1768,2315,USD,2023-06-01,2023-07-01,0.1038176634,0.3331975708,29,6,16,17,9822,9376,2498,3,49103,66358,24920,44161,62444,23697,0.3490551792,63672,12,USD,17,179637,2,0,0,1,Active,9749,9757,35,31,311406,426493,463798,432958,399154,Yes,193866,2023-12-31,Agreement 3,2023-06-01
107,6hh8nY4fmUxAlDrKk5m89u,Take Me,William Black,QM24S1821574,99785,4223,1966,USD,2023-06-01,2023-07-01,0.3679974439,0.1497255568,13,13,21,24,2212,9933,2483,3,26234,91559,71631,76964,35106,74956,0.1505032984,45384,32,USD,33,403615,2,0,1,0,Active,8031,1292,21,24,138378,193476,474305,404277,268548,No,252099,2023-12-31,Agreement 4,2023-06-01
108,383Xl5QTigwj3QiA3Qc6S7,The Devil Went Down to Georgia,The Charlie Daniels Band,USSM17900810,70591,1479,4907,USD,2023-06-01,2023-07-01,0.2489992217,0.1346686039,32,11,21,15,9363,7978,7618,1,80180,45725,21797,45068,34657,96733,0.8133815369,38889,8,USD,18,431740,3,0,0,1,Active,1815,6694,12,26,103548,434765,393356,169869,482349,No,134512,2023-12-31,Agreement 1,2023-06-01
109,4tfrtymHxWqNcoGtk7qcvH,Riot Riddim',Macky Gee,GB8KE2050472,54185,3751,2704,USD,2023-06-01,2023-07-01,0.2972107231,0.1358581328,26,19,18,31,6845,9279,8748,4,70279,59263,53088,58426,98992,71666,0.3679993664,18114,7,USD,23,414805,2,1,1,0,Inactive,5928,8378,34,28,431039,267863,108015,487199,425693,Yes,495162,2023-12-31,Agreement 2,2023-06-01
110,1oD2xFoVBGGil1xYpoSM2c,Rude Awakening,Christophe Beck,USWD11995064,97580,3037,2186,USD,2023-06-01,2023-07-01,0.2532391038,0.2429234249,28,17,19,26,2363,4189,3093,1,98629,21510,21739,73734,56918,24218,0.4955070354,85762,18,USD,14,144933,1,0,1,0,Inactive,2701,6769,19,31,469737,201152,481533,215296,324027,Yes,193377,2023-12-31,Agreement 4,2023-06-01
111,0y7jCiOP32uRsRrsO2FeUW,Intro,Juice WRLD,USUG11800942,48134,4877,3727,USD,2023-06-01,2023-07-01,0.1514954629,0.1053737239,29,23,13,20,8848,4852,3864,3,46242,56377,90450,15396,94100,26151,0.576456304,69218,24,USD,24,467065,4,1,1,1,Inactive,5411,5321,17,24,104360,344334,421426,499986,284310,No,371861,2023-12-31,Agreement 4,2023-06-01
112,3BJI1xTy9flJ2Ry8vyIIRY,180,Jordan Feliz,US8391800035,23693,3958,1144,USD,2023-06-01,2023-07-01,0.3026325717,0.4247170648,22,19,18,31,5123,8248,7538,3,19397,54902,92954,26264,89090,92240,0.9859986428,88757,30,USD,16,365565,2,1,0,1,Inactive,9007,8833,28,27,124811,336832,153296,373700,297778,Yes,359263,2023-12-31,Agreement 1,2023-06-01
113,2i1lsdXL7pdcO0e9ChcL0v,Curbed Tooth,Macky Gee,GB8KE2050480,59823,1009,3982,USD,2023-06-01,2023-07-01,0.2107416788,0.1614800607,22,13,10,27,8538,8345,8291,3,66425,49134,23620,79977,16828,78018,0.1868719369,57116,23,USD,15,268472,2,0,1,1,Inactive,6234,5008,32,20,476499,262956,177481,159631,259043,Yes,221022,2023-12-31,Agreement 2,2023-06-01
114,2P3SLxeQHPqh8qKB6gtJY2,Poetic Justice,Kendrick Lamar,USUM71211004,27734,1220,3236,USD,2023-06-01,2023-07-01,0.3289994362,0.1435366246,14,19,22,23,4017,7023,5090,2,84247,79762,84869,38240,68557,39822,0.4139103244,90223,14,USD,35,232976,3,1,1,0,Inactive,7841,8863,20,35,273459,489434,136062,373990,399529,Yes,245190,2023-12-31,Agreement 1,2023-06-01
115,07DVQH5iTLQtgcTAER9fax,Bizarre Skit (feat. Bizarre),Mastacraft,TCACP1604506,50068,3235,4229,USD,2023-06-01,2023-07-01,0.4826519557,0.1389235217,12,16,15,32,9014,4993,7431,2,54769,62666,66682,85153,11582,86187,0.5118575609,72226,22,USD,12,497115,4,1,1,1,Inactive,8450,1365,31,35,196043,166283,224363,159291,237091,No,493634,2023-12-31,Agreement 3,2023-06-01
116,7Dq4YNgsltQuTmhYz1wJzq,Ready For Love,BLACKPINK,KRA402200029,98349,3728,1130,USD,2023-06-01,2023-07-01,0.2333975038,0.1969598706,28,7,6,26,9095,7063,1306,2,66340,71338,12259,15902,29557,73527,0.1229051124,48767,19,USD,14,473447,4,1,0,0,Inactive,4098,5330,32,29,394637,357340,492171,174198,116665,Yes,374309,2023-12-31,Agreement 2,2023-06-01
117,3xIkW2H9e6y885XaO1TPQb,See You in Austin,Dakota Striplin,QZHN32094505,87342,1180,3033,USD,2023-06-01,2023-07-01,0.380496282,0.354619118,19,13,10,12,5071,9067,7166,2,19494,59234,97996,52149,88271,84051,0.1656856981,53180,30,USD,33,245763,4,1,0,0,Active,1594,1716,18,21,225200,441899,168872,145544,208357,Yes,415235,2023-12-31,Agreement 1,2023-06-01
118,2QpY0RaiEsfiguZZRcMWo0,Tease Me Please Me,Scorpions,USPG19090034,42976,3014,4998,USD,2023-06-01,2023-07-01,0.1701279656,0.1849167268,18,9,11,29,9898,9038,6296,1,11169,49858,47568,93308,23364,79281,0.3813132558,45799,11,USD,29,225648,3,0,1,0,Inactive,5205,3212,21,33,166604,228576,183217,219341,250865,No,439273,2023-12-31,Agreement 1,2023-06-01
119,0ekMGf2OzLW34BW138RHoV,Old Feels,Ronnie Lott,GBKPL1822336,88659,1214,1871,USD,2023-06-01,2023-07-01,0.1813610856,0.246244137,15,10,8,14,7800,5918,7112,4,11428,90934,57029,52944,47203,76900,0.3493512607,26629,35,USD,22,360607,4,0,1,1,Inactive,5172,4620,23,14,324177,423365,270258,189575,385958,Yes,207351,2023-12-31,Agreement 3,2023-06-01
120,6HZ9VeI5IRFCNQLXhpF4bq,I Love It (feat. Charli XCX),Icona Pop,SEWEE1200301,18166,2073,3515,USD,2023-06-01,2023-07-01,0.3362517927,0.1196608949,17,10,12,29,4125,1580,2046,1,52533,49574,56454,66385,19390,24674,0.7328420952,90819,6,USD,27,167815,2,0,1,1,Active,7715,9409,18,26,462735,289685,389892,368205,163262,Yes,186273,2023-12-31,Agreement 4,2023-06-01
121,630Ug0XtmhhFvAKo0PNuEI,Remember Me,UMI,UST8K1847614,52632,2595,2808,USD,2023-06-01,2023-07-01,0.1146076471,0.1222936442,19,18,14,32,9398,8832,1513,3,50068,62399,17207,14959,25538,61821,0.190184153,95608,31,USD,24,282077,2,0,0,1,Inactive,2617,3374,14,35,231514,231982,455795,373008,192606,No,483337,2023-12-31,Agreement 4,2023-06-01
122,2QsoVMTKj5m5kgztTOep98,Hey Baby,No Doubt,USIR10120513,47042,3476,2755,USD,2023-06-01,2023-07-01,0.194244911,0.4834224301,34,20,18,27,4417,6621,4719,3,33231,36024,88588,37676,12252,96969,0.5822919926,35993,13,USD,14,122807,1,0,0,1,Inactive,6212,8675,23,20,446557,335425,305308,106156,108621,No,329462,2023-12-31,Agreement 2,2023-06-01
123,1SVm64B4Ry7dqFSxHY8e65,La Calle De Las Sirenas,Kabah,MXF119903909,52563,1765,1200,USD,2023-06-01,2023-07-01,0.4852476358,0.332336193,34,15,21,32,4460,7032,8106,3,99685,34398,31555,12824,33484,17734,0.6962932597,99210,7,USD,19,257277,2,0,1,1,Active,1664,8621,34,21,293104,107278,230025,235508,362948,No,193536,2023-12-31,Agreement 1,2023-06-01
124,53Xoy70KgXCgacDLi7hAC7,Always - Acoustic,Francois Klark,CABLP1600005,94589,3454,4345,USD,2023-06-01,2023-07-01,0.1042781035,0.1679163909,31,10,21,27,7885,2419,3162,3,47181,86832,32678,19607,15503,95257,0.4178575257,58602,25,USD,23,396299,1,1,1,1,Inactive,2263,3172,18,24,126018,240636,115667,121741,339879,Yes,154943,2023-12-31,Agreement 1,2023-06-01
